@relation gesture
@attribute 'roll-difference' numeric
@attribute 'roll-mean' numeric
@attribute 'roll-std' numeric
@attribute 'roll-zcr' numeric
@attribute 'pitch-difference' numeric
@attribute 'pitch-mean' numeric
@attribute 'pitch-std' numeric
@attribute 'pitch-zcr' numeric
@attribute class {single outside,single inside}
@data
134.84418,73.811844,50.77937,16.0,127.613686,-85.61076,25.908895,24.0,single outside
141.3739,66.5644,48.4752,20.0,139.31943,-56.86532,53.79559,13.0,single outside
150.1221,61.105396,48.439705,19.0,184.25351,-43.563095,65.395454,15.0,single outside
157.14732,84.92025,59.26115,22.0,252.8314,-56.445305,69.91895,13.0,single outside
164.41125,73.18472,62.297485,19.0,296.0783,-42.076466,75.63407,16.0,single outside
193.54028,47.209244,66.28682,13.0,301.9431,-21.708765,74.35083,22.0,single outside
205.2268,75.81691,62.04022,21.0,296.95654,-71.21395,57.74294,9.0,single outside
345.2362,72.2162,78.02847,19.0,305.48163,-58.71047,69.3518,13.0,single outside
299.6365,60.034798,72.21953,17.0,232.98611,-70.43654,51.627106,9.0,single outside
164.28207,29.19545,54.603844,9.0,257.1321,-4.232335,58.160076,32.0,single outside
352.49792,30.054667,60.49296,7.0,300.33405,7.3202057,68.1298,20.0,single inside
181.74252,39.689922,53.550316,8.0,276.5243,-0.22000217,59.85069,18.0,single inside
356.02216,17.543034,65.2101,6.0,283.52988,50.21429,44.467907,29.0,single inside
348.1032,6.6894164,71.619,8.0,305.8975,37.461147,67.04395,29.0,single inside
346.3976,13.541473,57.974514,9.0,231.01001,38.48283,55.929585,28.0,single inside
350.03683,13.718457,55.226055,5.0,184.50508,15.904587,44.488335,18.0,single inside
352.53314,16.125906,67.80308,7.0,295.35193,19.596474,69.20628,25.0,single inside
334.9818,4.2683,60.156284,33.0,282.49426,51.98418,43.80715,23.0,single inside
316.30176,21.699825,54.98753,7.0,249.32303,30.926975,56.883877,21.0,single inside
306.37094,16.922983,47.66907,6.0,184.9831,48.792015,43.5836,29.0,single inside
