@relation gesture

@attribute roll-difference numeric
@attribute roll-mean numeric
@attribute roll-std numeric
@attribute roll-zcr numeric
@attribute pitch-difference numeric
@attribute pitch-mean numeric
@attribute pitch-std numeric
@attribute pitch-zcr numeric
@attribute class {single-outside,single-inside,double-outside}

@data
154.78642,76.90343,46.606403,13.0,319.05118,-38.604805,74.326096,15.0,single-outside
134.73746,74.854935,47.932686,20.0,268.9835,-28.076242,75.51533,21.0,single-outside
152.15681,77.6555,46.881744,11.0,334.3391,-35.14548,77.59735,15.0,single-outside
147.53572,86.16812,48.136387,19.0,337.47998,-35.545162,82.37048,16.0
154.75504,89.49483,39.711132,10.0,334.4218,-66.90208,60.959587,8.0,single-outside
161.45985,96.02916,45.370766,18.0,326.5574,-51.366505,77.58512,12.0,single-outside
138.92339,90.173904,40.64114,10.0,329.48584,-66.32927,62.560154,7.0,single-outside
121.00711,109.65782,34.36457,12.0,339.58484,-78.79555,63.718216,5.0,single-outside
151.58797,83.844284,40.10146,9.0,306.87317,-54.624878,68.235054,7.0,single-outside
138.82304,45.625767,45.351986,8.0,302.94116,3.7556496,58.15565,26.0,single-outside
120.04886,42.426598,32.156654,10.0,259.04932,7.359561,59.23423,30.0,single-inside
124.70623,51.894672,34.27396,6.0,275.8454,-54.25988,38.524548,21.0,single-inside
118.97592,37.247593,22.991776,5.0,105.08061,-41.792706,23.459757,31.0,single-inside
135.75064,43.953114,34.27045,9.0,256.03732,13.296689,58.510838,31.0,single-inside
156.5002,47.653065,41.224728,8.0,279.04602,21.484266,50.83586,35.0,single-inside
146.5193,51.25307,40.240433,12.0,287.62976,15.423019,59.554756,33.0,single-inside
152.4739,61.462757,43.082718,11.0,274.89252,-17.157764,69.66279,21.0,single-inside
142.54794,59.71928,40.60088,7.0,278.56982,-41.02588,57.77517,14.0,single-inside
141.7768,45.553116,36.285534,11.0,260.7572,8.0473,57.58934,31.0,single-inside
139.16862,47.247433,38.38312,6.0,284.04242,21.3278,48.306835,32.0,single-inside
159.02055,79.21554,50.168312,13.0,334.9762,-27.236294,78.38514,20.0,double-outside
353.71332,48.53402,81.071915,15.0,283.6506,-30.90618,70.00184,24.0,double-outside
358.73328,83.474556,57.253315,21.0,337.145,-65.01001,64.48257,9.0,double-outside
357.14127,63.498455,74.66626,16.0,333.76587,-26.436335,78.862625,23.0,double-outside
357.80103,81.83228,66.64056,19.0,338.9232,-43.525112,79.736046,19.0,double-outside
350.52075,59.47115,100.74818,22.0,318.48505,-65.277824,71.56299,14.0,double-outside
155.55759,105.06285,38.18179,19.0,180.16629,-87.089424,37.38613,11.0,double-outside
156.84546,84.9734,51.843067,21.0,289.90494,-45.291878,71.22552,17.0,double-outside
350.83246,74.57447,77.99297,29.0,214.28079,-83.070854,43.106255,9.0,double-outside
352.2734,95.98421,52.915604,25.0,287.6568,-82.17128,45.819176,8.0,double-outside

